id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35085928,Red Victorian - Star Bunk in shared Friends Room,117141107,Zarinah,,Haight Ashbury,37.77075,-122.44412,Shared room,,1,14,2020-02-24,0.22,43,0,0,License not needed per OSTR
35086181,Red Victorian - Comet Bunk in shared Friends Room,117141107,Zarinah,,Haight Ashbury,37.77085,-122.44324,Shared room,,1,12,2019-12-19,0.19,43,0,0,License not needed per OSTR
35091842,"Red Victorian: Neptune top bunk, Hula Hoop Room",117141107,Zarinah,,Haight Ashbury,37.77137,-122.44474,Shared room,,1,15,2020-01-01,0.23,43,0,0,License not needed per OSTR
35091972,"Red Victorian: Uranus bottom bunk, Hula Hoop Room",117141107,Zarinah,,Haight Ashbury,37.77078,-122.44289,Shared room,,1,24,2020-03-17,0.37,43,0,0,License not needed per OSTR
35092431,"Red Victorian:Highlight top bunk,Hole in the Wall",117141107,Zarinah,,Haight Ashbury,37.77275,-122.44489,Shared room,,1,7,2019-10-02,0.11,43,0,0,License not needed per OSTR
35093206,Red Victorian-Twilight Bottom Bunk Hole inthe Wall,117141107,Zarinah,,Haight Ashbury,37.77253,-122.44504,Shared room,,1,9,2020-01-10,0.14,43,0,0,License not needed per OSTR
35132748,Entire Floor Artistic Victorian in SF's Bernal Village,38209715,Tony,,Bernal Heights,37.73746424857655,-122.41793884534775,Entire home/apt,184,3,133,2024-08-30,2.13,3,30,52,2023-007139STR
35195461,"Grant Plaza Hotel, 465 Grant Ave. San Francisco.",265029065,Grant Plaza,,Financial District,37.79057,-122.40525,Private room,,1,0,,,4,365,0,Licensed hotel/B&B
35195793,Hotel 2 bathroom suite for four,47514427,Jeffrey & Susan & Bryce,,Downtown/Civic Center,37.77749,-122.4202,Private room,252,2,7,2024-01-12,0.11,23,9,1,License not needed per OSTR
35198742,Central location: sunlit room in ArtDeco building,260673420,Vien Na,,Western Addition,37.77101,-122.4263,Private room,,30,0,,,2,0,0,
35263886,"Serene Garden Studio in San Francisco's 
Parkside",15748945,Steve,,Lakeshore,37.73491,-122.49097,Entire home/apt,105,2,49,2020-03-17,0.80,1,67,0,STR-0003969
35285751,Beautiful 1x1 in Historic Mission Tudor Building,4430421,Landmark,,Mission,37.75393,-122.42381,Entire home/apt,101,30,7,2024-04-08,0.18,140,166,2,
35294298,Private Suite in Victorian Home,56507890,Dennise,,Noe Valley,37.75474,-122.42812,Entire home/apt,,3,121,2023-09-24,1.91,1,0,3,STR-0003924
35312287,Golden Gate Park/ Ocean Beach Private Home,265841303,Paul,,Outer Sunset,37.76267,-122.49428,Entire home/apt,312,2,218,2024-08-31,3.44,1,135,36,STR-0004574
35336292,Chic light-filled 1bd Victorian flat Cole Valley,15008705,Angela,,Haight Ashbury,37.76464,-122.45247,Entire home/apt,,30,0,,,1,0,0,
35355371,Mission/Bernal FULL Apartment! Casa Zaul,266184542,Karla,,Bernal Heights,37.74218,-122.42376,Entire home/apt,130,30,16,2023-09-04,0.26,2,161,0,
35466895,Family-Friendly Pop-Culture Haven in Heart of San Francisco,1867205,Julia,,Nob Hill,37.79628,-122.41603,Entire home/apt,600,30,61,2024-07-31,0.98,2,244,3,City registration pending
35473335,"Blueground | S. Beach, 3 pools & sauna, nr bay",107434423,Blueground,,South of Market,37.78334,-122.39104,Entire home/apt,153,31,1,2021-08-15,0.03,173,222,0,
35473369,"Blueground | S. Beach, movie room",107434423,Blueground,,South of Market,37.78503,-122.39061,Entire home/apt,155,31,0,,,173,167,0,
35478472,"Blueground | Mission Bay, gym & lounge, city view",107434423,Blueground,,South of Market,37.772587,-122.393081,Entire home/apt,301,31,0,,,173,216,0,
35494116,Single Bed in 6-Bed Female Capsule Room,102523118,Music City,,Nob Hill,37.79298,-122.42124,Shared room,46,1,240,2024-08-25,3.93,7,365,36,Exempt
35512958,Stunning Serene Garden Studio near GG Park,263477055,Stephen,,Outer Richmond,37.77391,-122.50477,Entire home/apt,129,2,228,2024-08-19,3.61,1,304,32,STR-0004146
35543186,(929 #A) private bedroom + private bathroom,46519368,Kenny,,Chinatown,37.79587,-122.40967,Private room,65,365,5,2022-07-31,0.08,8,80,0,
